Modelo,Base,Otimizador,Replica,Inf_cut,Sup_cut,MAPE_otimizador,MAPE_test
RandomForest,solar_radiation,brute,4,0.050988769531250006,0.5454345703125001,0.21618009961476128,0.2563523174323495
RandomForest,solar_radiation,brute,3,0.050988769531250006,0.5454345703125001,0.21618009961476128,0.3611895636523149
RandomForest,solar_radiation,brute,2,0.050988769531250006,0.5454345703125001,0.21618009961476128,0.22200238348179582
RandomForest,solar_radiation,brute,1,0.050988769531250006,0.5454345703125001,0.21618009961476128,0.22778048175683854
RandomForest,medical_cost,differential-evol,5,0.1773705724128442,0.6925264344903883,0.2184030453898818,0.2993804372484406
RandomForest,medical_cost,differential-evol,4,0.17754228814760686,0.8719580731522228,0.21827805536878678,0.2955277232656354
RandomForest,medical_cost,differential-evol,3,0.14897614984019159,0.8573857531457888,0.2173620898784057,0.32211334281321
RandomForest,medical_cost,differential-evol,2,0.177524584292729,0.692002190352954,0.2184030453898818,0.2456413291855589
RandomForest,medical_cost,differential-evol,1,0.1734100121210116,0.6972665021412822,0.21989130315047503,0.37926104587556964
RandomForest,medical_cost,direct,5,0.15020576131687244,0.8593964334705073,0.21908694237341758,0.25198027556183966
RandomForest,medical_cost,direct,4,0.15020576131687244,0.8593964334705073,0.21908694237341758,0.26965692782171125
RandomForest,medical_cost,direct,3,0.15020576131687244,0.8593964334705073,0.21908694237341758,0.2846112546202277
RandomForest,medical_cost,direct,2,0.15020576131687244,0.8593964334705073,0.21908694237341758,0.2513766547015606
RandomForest,medical_cost,direct,1,0.15020576131687244,0.8593964334705073,0.21908694237341758,0.2187949666641958
RandomForest,medical_cost,brute,5,0.14906250000000004,0.8606250000000001,0.21777649295563617,0.3733691512704813
RandomForest,medical_cost,brute,4,0.14906250000000004,0.8606250000000001,0.21777649295563617,0.21523418572251932
RandomForest,medical_cost,brute,3,0.14906250000000004,0.8606250000000001,0.21777649295563617,0.2899891144286915
RandomForest,medical_cost,brute,2,0.14906250000000004,0.8606250000000001,0.21777649295563617,0.2698987453674397
RandomForest,medical_cost,brute,1,0.14906250000000004,0.8606250000000001,0.21777649295563617,0.25790622480310393
RandomForest,house_rent,differential-evol,5,0.010542619756608473,0.9897926205736187,0.3659478724810672,0.32918478776372684
RandomForest,house_rent,differential-evol,4,0.036348576013478906,0.2567868774928212,0.37050243812399686,0.3348590144946407
RandomForest,house_rent,differential-evol,3,0.03659757193843882,0.25297059504686736,0.37050243812399686,0.34080710082020366
RandomForest,house_rent,differential-evol,2,0.03616334850717995,0.24984895071529156,0.37050243812399686,0.32538565550020865
RandomForest,house_rent,differential-evol,1,0.036322650084216035,0.25025338951686793,0.37050243812399686,0.35698227608627225
RandomForest,house_rent,direct,5,0.010745313214449045,0.9910836762688614,0.3659478724810672,0.35022971392075425
RandomForest,house_rent,direct,4,0.010745313214449045,0.9910836762688614,0.3659478724810672,0.3223592438412836
RandomForest,house_rent,direct,3,0.010745313214449045,0.9910836762688614,0.3659478724810672,0.3498610186952035
